#,Name,%Complete,AvgTime,Std,NoObs
0,ModRepeat_forest_0,86,457.860465116279,47.6682242147079,378
1,ModRepeat_forest_1,93,467.483870967742,59.6799011399095,379
2,ModRepeat_forest_2,97,439.113402061856,46.4114001922741,383
3,ModRepeat_forest_3,91,462.967032967033,59.895963016736,382
4,ModRepeat_forest_4,95,492.821052631579,57.4111632180525,389
5,ModRepeat_forest_5,81,481.148148148148,55.4376774118249,406
6,ModRepeat_forest_6,97,444.958762886598,40.8656126774147,383
7,ModRepeat_forest_7,91,469.857142857143,56.7160987337193,397
8,ModRepeat_forest_8,98,444.091836734694,46.5289216037294,381
9,ModRepeat_forest_9,93,467.52688172043,60.9370539671086,374
,,,,,
,,92.2,462.78285960915,53.1552016175477,385.2
,,5.32916503778969,16.9502129395107,7.11100125063207,9.65861733836106
