#,Name,%Complete,AvgTime,Std,,
0,ModEmpty_porto_fin1,99.8,110.442885771543,4.5904672166908,,11.04
1,ModOriginal_porto_fin1,99.9,109.772772772773,3.53863552245498,,10.98
2,ModCenterDis_porto_fin1,95.8,100.058455114823,4.85303066035702,,10.01
3,ModCenterCth_porto_fin1,99.9,94.4264264264264,5.16556147652025,,9.44
4,ModTime_porto_fin1,98.8,146.537449392713,6.29420515995602,,14.65
5,ModRefDis_porto_fin1,96.8,101.151859504132,6.37941846983867,,10.12
6,ModRefCth_porto_fin1,84.7,92.4025974025974,4.57802799914306,,9.24
7,ModSteer_porto_fin1,84.3,110.154211150652,3.98573264405226,,11.02
8,ModSteer_porto_fin1,84.9,109.967020023557,3.9219530363266,,11.00
9,ModDeviation_porto_fin1,100,107.879,3.58250736216969,,10.79
10,TunerCar Agent: Following PP references,4.1,72,0,,7.20
